,lang,path,charset,http-equiv,content,name,rel,href,class,style,id
0,en,html,,,,,,,,,
0,,html||head||meta,utf-8,,,,,,,,
0,,html||head||meta,,X-UA-Compatible,IE=edge,,,,,,
0,,html||head||meta,,,"width=device-width, initial-scale=1",viewport,,,,,
0,,html||head||meta,,,,description,,,,,
0,,html||head||meta,,,,author,,,,,
0,,html||head||link,,,,,icon,mysource_files/favicon.ico,,,
0,,html||head||link,,,,,stylesheet,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css,,,
0,,html||head||link,,,,,stylesheet,mysource_files/style.css,,,
0,,html||body||div,,,,,,,container> worjker,,
0,,html||body||div||header,,,,,,,header clearfix,background-color: #ffffff,
0,,html||body||div||header||nav||ul,,,,,,,nav nav-pills pull-right,,
0,,html||body||div||header||nav||ul||li,,,,,,,active,,
0,,html||body||div||header||nav||ul||li||a,,,,,,#,,,
0,,html||body||div||header||nav||ul||li||a,,,,,,#,,,
0,,html||body||div||header||nav||ul||li||a,,,,,,#,,,
0,,html||body||div||header||h1,,,,,,,h3 text-muted,,site_name
0,,html||body||div||header||ol,,,,,,,breadcrumb,,
0,,html||body||div||header||ol||li||a,,,,,,#,,,
0,,html||body||div||header||ol||li||a,,,,,,#,,,
0,,html||body||div||header||ol||li,,,,,,,active,,
0,,html||body||div||div,,,,,,,page-heading,,
0,,html||body||div||div,,,,,,,row,,
0,,html||body||div||div||div,,,,,,,col-sm-3,,
0,,html||body||div||div||div||ul,,,,,,,nav nav-pills nav-stacked,,
0,,html||body||div||div||div||ul||li||a,,,,,,#,,,
0,,html||body||div||div||div||ul||li,,,,,,,active,,
0,,html||body||div||div||div||ul||li||a,,,,,,#,,,
0,,html||body||div||div||div||ul||li||ul||li||a,,,,,,#,,,
0,,html||body||div||div||div||ul||li||ul||li||a,,,,,,#,,,
0,,html||body||div||div||div||ul||li||ul||li||a,,,,,,#,,,
0,,html||body||div||div||div||ul||li||a,,,,,,#,,,
0,,html||body||div||div||div,,,,,,,col-sm-6,,
0,,html||body||div||div||div||div,,,,,,,page-contents,,
0,,html||body||div||div||div,,,,,,,col-sm-3,,
0,,html||body||div||footer,,,,,,,footer,,
0,,html||body||div||footer||p,,,,,,,pull-right,,
